Jurisdiction,Native forest,Commercial plantation,Other forest
Australian Capital Territory,83,0,0
New South Wales,"5,015",92,16
Northern Territory,0,0,0
Queensland,510,4,0
South Australia,118,17,2
Tasmania,27,3,0
Victoria,"1,444",10,3
Western Australia,"1,140",4,0
All,"8,337",130,21
